time,open,high,low,close,volume,count
1697328900,25558.5,25561.2,25548.9,25548.9,0.98584013,109
1697329800,25547.8,25548.4,25539.0,25548.4,0.83742915,43
1697330700,25548.4,25562.1,25546.0,25562.0,0.35082441,48
1697331600,25562.2,25567.2,25562.1,25567.1,0.52434889,61
1697332500,25567.2,25570.2,25567.1,25569.9,0.17473551,29
1697333400,25570.6,25604.0,25570.5,25604.0,0.18134713,64
1697334300,25603.9,25618.0,25600.0,25600.1,0.30825392,49
1697335200,25600.1,25610.2,25588.2,25595.5,0.42353608,49
1697336100,25593.4,25593.4,25585.3,25587.3,0.11506926,42
1697337000,25589.1,25595.0,25586.4,25595.0,0.0402522,31
1697337900,25595.0,25595.0,25588.0,25590.1,0.24147851,27
1697338800,25591.4,25594.8,25588.0,25594.8,0.30147408,46
1697339700,25594.9,25605.0,25594.8,25604.9,0.29673954,30
1697340600,25605.0,25611.4,25593.0,25595.3,15.76766056,187
1697341500,25595.3,25595.3,25586.7,25586.8,0.1923711,34
1697342400,25586.8,25593.8,25585.0,25585.0,0.42402516,48
1697343300,25584.3,25585.9,25584.1,25585.9,0.2981422,36
1697344200,25585.9,25590.7,25576.2,25576.5,3.02576288,48
1697345100,25582.9,25588.9,25579.3,25588.9,0.35795898,46
1697346000,25589.0,25589.3,25584.1,25586.5,0.48597606,185
1697346900,25586.5,25589.2,25586.5,25589.2,0.4046625,158
1697347800,25589.2,25590.9,25587.1,25587.3,0.61490497,71
1697348700,25587.2,25587.7,25587.2,25587.3,0.40616836,55
1697349600,25587.3,25588.2,25581.3,25581.3,0.48569796,151
1697350500,25581.4,25581.9,25580.2,25580.2,0.63872311,124
1697351400,25580.2,25580.5,25578.2,25580.5,0.19680185,129
1697352300,25580.5,25586.8,25579.1,25584.2,0.68241566,134
1697353200,25584.2,25586.4,25582.2,25585.9,1.4609531,125
1697354100,25585.9,25585.9,25585.8,25585.9,1.70839679,101
1697355000,25585.9,25586.7,25585.8,25585.9,0.78332171,103
1697355900,25585.9,25585.9,25574.6,25585.6,5.98228581,137
1697356800,25585.7,25607.7,25585.7,25594.8,3.47048219,155
1697357700,25594.8,25599.6,25594.7,25598.5,0.7331545,82
1697358600,25604.7,25619.1,25604.7,25618.2,3.16731481,142
1697359500,25618.3,25621.3,25618.2,25618.2,1.56477472,109
